Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min
29,5.0,0.0,4000.0,4.0,1000.0,29000.0,0.09999999999999999,-272.29864196877696,-272.29864196877696,0.0,55.75954341888428,-12.834131031986503,-12.834131031986503,0.0,,,,,,,,,,,,,-24.826034531,11.5395579269,0.45978103933,-48.5303630557,,,,,,,,,,,,,,,,,,,,,,,,
30,5.0,0.0,5000.0,5.0,1000.0,30000.0,0.09999999999999999,-231.21191075695026,-231.21191075695026,0.0,57.03639483451843,,,,,,,,,,,,,,,,-22.3259928211,9.89579700487,6.38627284556,-43.7504144249,,,,,,,,,,,,,,,,,,,,,,,,
31,6.0,0.0,1000.0,1.0,1000.0,31000.0,0.09999999999999999,-296.57901524553046,-296.57901524553046,0.0,61.65053367614746,7.2227809573637,7.2227809573637,0.0,,,,,,,,,,,,,-27.9138011912,7.44360287684,-0.670400254922,-42.3018962894,,,,,,,,,,,,,,,,,,,,,,,,
32,6.0,0.0,2000.0,2.0,1000.0,32000.0,0.09999999999999999,,,0.0,64.04284930229187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6.0,0.0,3000.0,3.0,1000.0,33000.0,0.09999999999999999,-324.9341591876649,-324.9341591876649,0.0,65.29979634284973,-5.38182948052388,-5.38182948052388,0.0,,,,,,,,,,,,,-31.7176656597,10.3316435015,0.240134400226,-50.0800316697,,,,,,,,,,,,,,,,,,,,,,,,
34,6.0,0.0,4000.0,4.0,1000.0,34000.0,0.09999999999999999,,,0.0,68.22678995132446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,6.0,0.0,5000.0,5.0,1000.0,35000.0,0.09999999999999999,-334.063710269448,-334.063710269448,0.0,69.49234461784363,-4.227346629985224,-4.227346629985224,0.0,,,,,,,,,,,,,-32.7880278988,11.4347515402,-0.465129891752,-50.5933029849,,,,,,,,,,,,,,,,,,,,,,,,
36,7.0,0.0,1000.0,1.0,1000.0,36000.0,0.09999999999999999,,,0.0,73.53422331809998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7.0,0.0,2000.0,2.0,1000.0,37000.0,0.09999999999999999,-229.4354550872037,-229.4354550872037,0.0,74.7991099357605,31.94307000307921,31.94307000307921,0.0,,,,,,,,,,,,,-23.5840931046,10.2756592688,10.6892519692,-40.7971584554,,,,,,,,,,,,,,,,,,,,,,,,
38,7.0,0.0,3000.0,3.0,1000.0,38000.0,0.09999999999999999,,,0.0,77.05987071990967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,7.0,0.0,4000.0,4.0,1000.0,39000.0,0.09999999999999999,-342.22634484030556,-342.22634484030556,0.0,78.20509815216064,4.015447899525787,4.015447899525787,0.0,,,,,,,,,,,,,-28.7594382372,10.7708766442,-0.469991966378,-55.9041789177,,,,,,,,,,,,,,,,,,,,,,,,
40,7.0,0.0,5000.0,5.0,1000.0,40000.0,0.09999999999999999,-269.89252806154775,-269.89252806154775,0.0,79.46222186088562,,,,,,,,,,,,,,,,-24.6926397099,10.4738312768,0.792218269157,-45.2168739616,,,,,,,,,,,,,,,,,,,,,,,,
41,8.0,0.0,1000.0,1.0,1000.0,41000.0,0.09999999999999999,-321.66930812644284,-321.66930812644284,0.0,83.88981819152832,6.574927638029166,6.574927638029166,0.0,,,,,,,,,,,,,-26.6012354017,15.618202371,5.42522218162,-74.3096185613,,,,,,,,,,,,,,,,,,,,,,,,
42,8.0,0.0,2000.0,2.0,1000.0,42000.0,0.09999999999999999,,,0.0,86.34245204925537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,8.0,0.0,3000.0,3.0,1000.0,43000.0,0.09999999999999999,-280.04291373988775,-280.04291373988775,0.0,87.56754040718079,20.15626784824743,20.15626784824743,0.0,,,,,,,,,,,,,-28.6336183512,12.7809910634,10.4194047807,-46.1642148747,,,,,,,,,,,,,,,,,,,,,,,,
44,8.0,0.0,4000.0,4.0,1000.0,44000.0,0.09999999999999999,,,0.0,89.8195219039917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,8.0,0.0,5000.0,5.0,1000.0,45000.0,0.09999999999999999,-305.2657673192781,-305.2657673192781,0.0,91.11080360412598,7.2962314333223794,7.2962314333223794,0.0,,,,,,,,,,,,,-25.8912468779,15.2240361979,4.36724390358,-60.4985785578,,,,,,,,,,,,,,,,,,,,,,,,
46,9.0,0.0,1000.0,1.0,1000.0,46000.0,0.09999999999999999,,,0.0,95.55590319633484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,9.0,0.0,2000.0,2.0,1000.0,47000.0,0.09999999999999999,-257.9600122071536,-257.9600122071536,0.0,96.94389724731445,13.97119659378528,13.97119659378528,0.0,,,,,,,,,,,,,-24.6926177029,11.649793885,8.21886929801,-46.2796952163,,,,,,,,,,,,,,,,,,,,,,,,
48,9.0,0.0,3000.0,3.0,1000.0,48000.0,0.09999999999999999,,,0.0,99.98524928092957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,9.0,0.0,4000.0,4.0,1000.0,49000.0,0.09999999999999999,-167.8911151988278,-167.8911151988278,0.0,102.14946627616882,0.6179044718995491,0.6179044718995491,0.0,,,,,,,,,,,,,-15.239324936,17.1226045516,30.1469774475,-40.8623785171,,,,,,,,,,,,,,,,,,,,,,,,
50,9.0,0.0,5000.0,5.0,1000.0,50000.0,0.09999999999999999,-297.20309906110407,-297.20309906110407,0.0,104.26106214523315,,,,,,,,,,,,,,,,-27.6939878976,6.81489827133,-1.4121634645,-38.9758972357,,,,,,,,,,,,,,,,,,,,,,,,
51,10.0,0.0,1000.0,1.0,1000.0,51000.0,0.09999999999999999,-280.1853051892665,-280.1853051892665,0.0,109.80062174797058,33.04562073007516,33.04562073007516,0.0,,,,,,,,,,,,,-25.8029549138,9.07379694923,0.332572594911,-46.0152840121,,,,,,,,,,,,,,,,,,,,,,,,
52,10.0,0.0,2000.0,2.0,1000.0,52000.0,0.09999999999999999,,,0.0,112.20678400993347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,10.0,0.0,3000.0,3.0,1000.0,53000.0,0.09999999999999999,-263.37866689146927,-263.37866689146927,0.0,113.47920203208923,77.64161516842967,77.64161516842967,0.0,,,,,,,,,,,,,-22.7056014435,9.99654465814,6.66915940018,-38.6547342471,,,,,,,,,,,,,,,,,,,,,,,,
54,10.0,0.0,4000.0,4.0,1000.0,54000.0,0.09999999999999999,,,0.0,115.9663336277008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,10.0,0.0,5000.0,5.0,1000.0,55000.0,0.09999999999999999,-224.00669075719853,-224.00669075719853,0.0,117.20400094985962,51.42104799378618,51.42104799378618,0.0,,,,,,,,,,,,,-22.5946018824,11.2285143624,8.73316843978,-41.1247373263,,,,,,,,,,,,,,,,,,,,,,,,
56,11.0,0.0,1000.0,1.0,1000.0,56000.0,0.09999999999999999,,,0.0,120.9649727344513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,11.0,0.0,2000.0,2.0,1000.0,57000.0,0.09999999999999999,-330.71228182443605,-330.71228182443605,0.0,122.07511639595032,30.358089440858436,30.358089440858436,0.0,,,,,,,,,,,,,-28.8088418689,9.89122363626,0.111114442057,-51.2555423424,,,,,,,,,,,,,,,,,,,,,,,,
58,11.0,0.0,3000.0,3.0,1000.0,58000.0,0.09999999999999999,,,0.0,124.11604499816895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,11.0,0.0,4000.0,4.0,1000.0,59000.0,0.09999999999999999,-277.39956219235756,-277.39956219235756,0.0,125.20537638664246,60.6938281350309,60.6938281350309,0.0,,,,,,,,,,,,,-22.4948996759,12.323322922,5.37245513607,-58.0077458198,,,,,,,,,,,,,,,,,,,,,,,,
